4,星商电子商务研发部招聘,经验1-3年 /,python开发工程师,/深圳 /,10k-20k,本科及以上 /,全职
5,智易科技招聘,经验3-5年 /,Python售后工程师,/深圳 /,15k-30k,本科及以上 /,全职
6,深圳华秋电子有限公司技术中心招聘,经验5-10年 /,Python高级爬虫工程师（主管）,/深圳 /,18k-25k,本科及以上 /,全职
7,MINIEYE招聘,经验应届毕业生 /,Python开发实习生,/深圳 /,6k-10k,本科及以上 /,全职
8,翼果科技研发部招聘,经验1-3年 /,Python后台工程师(科技园),/深圳 /,10k-20k,本科及以上 /,全职
9,富途研发中心招聘,经验1-3年 /,资讯与社区-Python后台开发...,/深圳 /,15k-30k,学历不限 /,全职
10,妙印云技术部招聘,经验5-10年 /,Python 高级开发工程师,/深圳 /,25k-40k,大专及以上 /,全职
11,浪潮通软PS Cloud事业部招聘,经验3-5年 /,python、Java开发工程师,/深圳 /,12k-20k,本科及以上 /,全职
12,云天励飞招聘,经验3-5年 /,后端开发工程师（python）,/深圳 /,15k-25k,本科及以上 /,全职
13,编程猫招聘,经验1年以下 /,课程设计（python）,/深圳 /,9k-15k,本科及以上 /,全职
14,风变科技（深圳）有限公司技术部招聘,经验3-5年 /,python后端组长,/深圳 /,15k-20k,本科及以上 /,全职
,company,exp,name,place,salary,school,type
0,风变科技（深圳）有限公司Aiboss工作室招聘,经验不限 /,Python课程运营,/深圳 /,6k-12k,大专及以上 /,全职
1,风变科技（深圳）有限公司Aiboss工作室招聘,经验不限 /,Python课程运营顾问,/深圳 /,6k-12k,大专及以上 /,全职
2,圆代码研发部招聘,经验1-3年 /,python开发工程师,/深圳 /,10k-20k,硕士及以上 /,全职
3,奥飞游戏深圳分公司招聘,经验1年以下 /,Python开发工程师,/深圳 /,9k-15k,大专及以上 /,全职
4,腾讯招聘,经验1-3年 /,python后台开发,/深圳 /,8k-12k,大专及以上 /,全职
5,Aleven是技术的聚集地。研发部招聘,经验1-3年 /,Python 开发工程师_高级,/深圳 /,25k-27k,硕士及以上 /,全职
6,Aleven是技术的聚集地。研发部招聘,经验1-3年 /,Python 开发工程师_中级,/深圳 /,16k-20k,硕士及以上 /,全职
7,Aleven是技术的聚集地。研发部招聘,经验1-3年 /,Python 开发工程师_初级,/深圳 /,12k-17k,硕士及以上 /,全职
8,猎芯科技技术招聘,经验1-3年 /,Python工程师,/深圳 /,10k-20k,大专及以上 /,全职
